"","status","family","pval","qval","gene_short_name","trend","cancer_type_num","cancer_type","tls_object"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","OK","uninormal",2.54003014044332e-274,2.71783225027435e-272,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","High_Low",6,"Gastric","IT"
"MP15.EMT.IV","OK","uninormal",3.70887003970561e-234,1.9842454712425e-232,"MP15.EMT.IV","High_Low",6,"Gastric","IT"
"HALLMARK_ANGIOGENESIS","OK","uninormal",5.94739556917822e-233,2.1212377530069e-231,"HALLMARK_ANGIOGENESIS","High_Low",6,"Gastric","IT"
"HALLMARK_KRAS_SIGNALING_DN","OK","uninormal",6.85844073350802e-202,1.8346328962134e-200,"HALLMARK_KRAS_SIGNALING_DN","Low_High",6,"Gastric","IT"
"HALLMARK_MTORC1_SIGNALING","OK","uninormal",3.41460982040065e-201,7.3072650156574e-200,"HALLMARK_MTORC1_SIGNALING","High_Low",6,"Gastric","IT"
"HALLMARK_KRAS_SIGNALING_UP","OK","uninormal",5.84847076324127e-177,1.04297728611136e-175,"HALLMARK_KRAS_SIGNALING_UP","High_Low",6,"Gastric","IT"
"HALLMARK_INFLAMMATORY_RESPONSE","OK","uninormal",4.86078351333268e-154,7.43005479895138e-153,"HALLMARK_INFLAMMATORY_RESPONSE","High_Low",6,"Gastric","IT"
"HALLMARK_XENOBIOTIC_METABOLISM","OK","uninormal",6.5263382384788e-144,8.7289773939654e-143,"HALLMARK_XENOBIOTIC_METABOLISM","Low_High",6,"Gastric","IT"
"MP30.PDAC.classical","OK","uninormal",5.49334021275122e-139,6.53097114182645e-138,"MP30.PDAC.classical","Low_High",6,"Gastric","IT"
"MP38.Glutathione","OK","uninormal",5.63334210644946e-134,6.02767605390092e-133,"MP38.Glutathione","Low_High",6,"Gastric","IT"
"Mesenchymal","OK","uninormal",4.70250534943714e-126,4.5742552035434e-125,"Mesenchymal","High_Low",6,"Gastric","IT"
"MP16.MES..glioma.","OK","uninormal",6.21185447434552e-124,5.53890357295809e-123,"MP16.MES..glioma.","High_Low",6,"Gastric","IT"
"MP9.Unfolded.protein.response","OK","uninormal",1.23429324126994e-118,1.01591828319911e-117,"MP9.Unfolded.protein.response","High_High",6,"Gastric","IT"
"HALLMARK_COMPLEMENT","OK","uninormal",8.06149008817965e-118,6.16128171025159e-117,"HALLMARK_COMPLEMENT","High_Low",6,"Gastric","IT"
"MP39.Metal.response","OK","uninormal",9.3949675449778e-118,6.7017435154175e-117,"MP39.Metal.response","High_Low",6,"Gastric","IT"
"HALLMARK_APICAL_SURFACE","OK","uninormal",3.10103698241769e-115,2.07381848199183e-114,"HALLMARK_APICAL_SURFACE","High_Low",6,"Gastric","IT"
"MP12.EMT.I","OK","uninormal",1.91638721583725e-112,1.20619665937991e-111,"MP12.EMT.I","High_Low",6,"Gastric","IT"
"MP7.Stress..in.vitro.","OK","uninormal",8.62806919644281e-106,5.12890780010767e-105,"MP7.Stress..in.vitro.","High_High",6,"Gastric","IT"
"MP29.NPC.OPC","OK","uninormal",3.4623745334881e-99,1.94986355306962e-98,"MP29.NPC.OPC","High_Low",6,"Gastric","IT"
"HALLMARK_COAGULATION","OK","uninormal",3.81240758315597e-98,2.03963805698844e-97,"HALLMARK_COAGULATION","High_Low",6,"Gastric","IT"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","OK","uninormal",5.09308709792253e-97,2.59504914037005e-96,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","High_Low",6,"Gastric","IT"
"MP13.EMT.II","OK","uninormal",6.8213200591247e-97,3.31764202875611e-96,"MP13.EMT.II","High_Low",6,"Gastric","IT"
"MP24.Cilia","OK","uninormal",1.52018436085646e-94,7.0721620265931e-94,"MP24.Cilia","Low_Low",6,"Gastric","IT"
"HALLMARK_GLYCOLYSIS","OK","uninormal",2.94577395488655e-89,1.31332422155359e-88,"HALLMARK_GLYCOLYSIS","High_Low",6,"Gastric","IT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","OK","uninormal",4.92449385243927e-89,2.10768336884401e-88,"HALLMARK_ESTROGEN_RESPONSE_EARLY","Low_Low",6,"Gastric","IT"
"HALLMARK_APOPTOSIS","OK","uninormal",6.47232316543431e-85,2.66360991808258e-84,"HALLMARK_APOPTOSIS","High_Low",6,"Gastric","IT"
"HALLMARK_ALLOGRAFT_REJECTION","OK","uninormal",6.30513366298529e-84,2.49870111829417e-83,"HALLMARK_ALLOGRAFT_REJECTION","High_Low",6,"Gastric","IT"
"MP26.NPC.Glioma","OK","uninormal",5.30724872606396e-73,2.02812719174587e-72,"MP26.NPC.Glioma","High_Low",6,"Gastric","IT"
"MP31.Alveolar","OK","uninormal",3.09092972693524e-72,1.14044648545542e-71,"MP31.Alveolar","High_High",6,"Gastric","IT"
"OPC","OK","uninormal",5.18767905361847e-72,1.85027219579059e-71,"OPC","High_Low",6,"Gastric","IT"
"Glandular","OK","uninormal",3.19462480240232e-67,1.1026608188937e-66,"Glandular","Low_High",6,"Gastric","IT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","OK","uninormal",4.01706598388526e-64,1.34320643836163e-63,"HALLMARK_ESTROGEN_RESPONSE_LATE","Low_Low",6,"Gastric","IT"
"MP18.Interferon.MHC.II..II.","OK","uninormal",5.4265946991956e-64,1.75953222064827e-63,"MP18.Interferon.MHC.II..II.","High_Low",6,"Gastric","IT"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","OK","uninormal",1.78764787877744e-63,5.62583303027018e-63,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","High_Low",6,"Gastric","IT"
"HALLMARK_TGF_BETA_SIGNALING","OK","uninormal",5.55236047209158e-63,1.69743591575371e-62,"HALLMARK_TGF_BETA_SIGNALING","High_Low",6,"Gastric","IT"
"Squamous","OK","uninormal",4.21405552913792e-47,1.25251094893821e-46,"Squamous","Low_Low",6,"Gastric","IT"
"HALLMARK_ADIPOGENESIS","OK","uninormal",7.32221247384534e-46,2.1175046883823e-45,"HALLMARK_ADIPOGENESIS","Low_High",6,"Gastric","IT"
"MP28.Oligo.normal","OK","uninormal",3.38716588636167e-45,9.53754604843943e-45,"MP28.Oligo.normal","Low_Low",6,"Gastric","IT"
"HALLMARK_HEME_METABOLISM","OK","uninormal",2.08756068482873e-43,5.72741008401728e-43,"HALLMARK_HEME_METABOLISM","Low_High",6,"Gastric","IT"
"HALLMARK_MYC_TARGETS_V2","OK","uninormal",3.5613102913891e-42,9.52650502946583e-42,"HALLMARK_MYC_TARGETS_V2","Low_Low",6,"Gastric","IT"
"MP19.Epithelial.Senescence","OK","uninormal",4.14448189900741e-42,1.08160869071657e-41,"MP19.Epithelial.Senescence","Low_Low",6,"Gastric","IT"
"MP10.Protein.maturation","OK","uninormal",7.11882235184862e-41,1.81360474201858e-40,"MP10.Protein.maturation","High_Low",6,"Gastric","IT"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","OK","uninormal",1.37572951810979e-40,3.42332694041273e-40,"HALLMARK_IL6_JAK_STAT3_SIGNALING","High_Low",6,"Gastric","IT"
"Ciliated","OK","uninormal",2.12653465614914e-39,5.17134564108995e-39,"Ciliated","Low_High",6,"Gastric","IT"
"HALLMARK_SPERMATOGENESIS","OK","uninormal",3.79644458413341e-38,9.02710156671721e-38,"HALLMARK_SPERMATOGENESIS","High_High",6,"Gastric","IT"
"MP22.Secreted.I","OK","uninormal",1.27481917913347e-36,2.96534026450611e-36,"MP22.Secreted.I","High_Low",6,"Gastric","IT"
"MP40.PDAC.related","OK","uninormal",7.25232546739503e-34,1.65106132981121e-33,"MP40.PDAC.related","Low_Low",6,"Gastric","IT"
"Stress","OK","uninormal",7.01783637326123e-33,1.56439269153948e-32,"Stress","High_Low",6,"Gastric","IT"
"HALLMARK_APICAL_JUNCTION","OK","uninormal",1.45776435792551e-31,3.18328135302102e-31,"HALLMARK_APICAL_JUNCTION","High_Low",6,"Gastric","IT"
"AC","OK","uninormal",2.66099236582468e-31,5.69452366286482e-31,"AC","High_Low",6,"Gastric","IT"
"MP37.Hemato.related.II","OK","uninormal",5.95942549669147e-29,1.25031083950194e-28,"MP37.Hemato.related.II","Low_High",6,"Gastric","IT"
