"","status","family","pval","qval","gene_short_name","trend","cancer_type_num","cancer_type","tls_object"
"HALLMARK_UV_RESPONSE_DN","OK","uninormal",8.73045112303437e-29,1.79645821185515e-28,"HALLMARK_UV_RESPONSE_DN","High_Low",6,"Gastric","IT"
"HALLMARK_IL2_STAT5_SIGNALING","OK","uninormal",6.19467546228469e-26,1.25062315936691e-25,"HALLMARK_IL2_STAT5_SIGNALING","High_Low",6,"Gastric","IT"
"HALLMARK_PROTEIN_SECRETION","OK","uninormal",2.50111299068213e-25,4.9559090741294e-25,"HALLMARK_PROTEIN_SECRETION","High_Low",6,"Gastric","IT"
"MP20.MYC","OK","uninormal",7.59793343008562e-25,1.47814341276211e-24,"MP20.MYC","Low_Low",6,"Gastric","IT"
"HALLMARK_HYPOXIA","OK","uninormal",2.79060935475847e-20,5.33205715998493e-20,"HALLMARK_HYPOXIA","High_Low",6,"Gastric","IT"
"pEMT","OK","uninormal",2.97888750888944e-20,5.5919467272135e-20,"pEMT","High_Low",6,"Gastric","IT"
"MP8.Proteasomal.degradation","OK","uninormal",4.59662814091372e-18,8.47998639789254e-18,"MP8.Proteasomal.degradation","Low_Low",6,"Gastric","IT"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","OK","uninormal",4.86383825540012e-15,8.82085920894597e-15,"HALLMARK_PI3K_AKT_MTOR_SIGNALING","High_Low",6,"Gastric","IT"
"MP1..Cell.Cycle...G2.M","OK","uninormal",5.86520615102882e-14,1.04596176360014e-13,"MP1..Cell.Cycle...G2.M","Low_High",6,"Gastric","IT"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","OK","uninormal",7.62870963794076e-14,1.33815070698305e-13,"HALLMARK_INTERFERON_GAMMA_RESPONSE","High_Low",6,"Gastric","IT"
"HALLMARK_MITOTIC_SPINDLE","OK","uninormal",9.36289863590257e-12,1.61585508716383e-11,"HALLMARK_MITOTIC_SPINDLE","High_Low",6,"Gastric","IT"
"MP32.Skin.pigmentation","OK","uninormal",9.87977863093592e-12,1.6779941484288e-11,"MP32.Skin.pigmentation","High_Low",6,"Gastric","IT"
"HALLMARK_MYC_TARGETS_V1","OK","uninormal",1.99625175239209e-10,3.33748339853052e-10,"HALLMARK_MYC_TARGETS_V1","Low_Low",6,"Gastric","IT"
"Basal","OK","uninormal",8.50396263307693e-10,1.39988307959882e-09,"Basal","High_Low",6,"Gastric","IT"
"Interferon","OK","uninormal",3.25899023213713e-09,5.28351446725263e-09,"Interferon","High_Low",6,"Gastric","IT"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","OK","uninormal",4.48204882200923e-09,7.15789886499981e-09,"HALLMARK_OXIDATIVE_PHOSPHORYLATION","Low_High",6,"Gastric","IT"
"Alveolar","OK","uninormal",4.38203850182545e-08,6.8952664661077e-08,"Alveolar","High_Low",6,"Gastric","IT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","OK","uninormal",1.08006170642719e-07,1.6748782983726e-07,"HALLMARK_CHOLESTEROL_HOMEOSTASIS","High_Low",6,"Gastric","IT"
"MP5.Stress","OK","uninormal",1.40903317218577e-07,2.15380784891254e-07,"MP5.Stress","High_High",6,"Gastric","IT"
"Hypoxia","OK","uninormal",1.43645798902569e-07,2.1648028848697e-07,"Hypoxia","High_Low",6,"Gastric","IT"
"HALLMARK_FATTY_ACID_METABOLISM","OK","uninormal",1.4911291861204e-07,2.2159836515956e-07,"HALLMARK_FATTY_ACID_METABOLISM","Low_High",6,"Gastric","IT"
"Oxphos","OK","uninormal",3.2101442887365e-07,4.70527998486035e-07,"Oxphos","Low_High",6,"Gastric","IT"
"MP2..Cell.Cycle...G1.S","OK","uninormal",5.65901630573655e-07,8.18263168532177e-07,"MP2..Cell.Cycle...G1.S","Low_High",6,"Gastric","IT"
"HALLMARK_HEDGEHOG_SIGNALING","OK","uninormal",3.68266439535395e-06,5.25393453737163e-06,"HALLMARK_HEDGEHOG_SIGNALING","High_Low",6,"Gastric","IT"
"HALLMARK_UV_RESPONSE_UP","OK","uninormal",1.06561767665077e-05,1.50027751844254e-05,"HALLMARK_UV_RESPONSE_UP","Low_High",6,"Gastric","IT"
"HALLMARK_ANDROGEN_RESPONSE","OK","uninormal",2.5149620120244e-05,3.49481734138456e-05,"HALLMARK_ANDROGEN_RESPONSE","Low_Low",6,"Gastric","IT"
"MP27.Oligo.Progenitor","OK","uninormal",8.67035899391893e-05,0.000118939540044785,"MP27.Oligo.Progenitor","High_Low",6,"Gastric","IT"
"MP35.Hemato.related.I","OK","uninormal",9.27500234579584e-05,0.00012562344949369,"MP35.Hemato.related.I","High_Low",6,"Gastric","IT"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","OK","uninormal",9.81173116083408e-05,0.000131231904276156,"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","Low_High",6,"Gastric","IT"
"MP33.RBCs","OK","uninormal",0.000347866227850197,0.000459526992345322,"MP33.RBCs","Low_High",6,"Gastric","IT"
"MP6.Hypoxia","OK","uninormal",0.000473333582163261,0.000617642601115475,"MP6.Hypoxia","High_Low",6,"Gastric","IT"
"HALLMARK_E2F_TARGETS","OK","uninormal",0.000479300343158916,0.000617893213469928,"HALLMARK_E2F_TARGETS","Low_High",6,"Gastric","IT"
"MP36.IG","OK","uninormal",0.000671637225399257,0.000855537894258577,"MP36.IG","High_High",6,"Gastric","IT"
"MP21.Respiration","OK","uninormal",0.00094980820230183,0.00119564091348583,"MP21.Respiration","Low_High",6,"Gastric","IT"
"Metal","OK","uninormal",0.0013090261899523,0.00162867212005693,"Metal","High_High",6,"Gastric","IT"
"MP17.Interferon.MHC.II..I.","OK","uninormal",0.00746002973086848,0.00917497909428652,"MP17.Interferon.MHC.II..I.","High_Low",6,"Gastric","IT"
"HALLMARK_MYOGENESIS","OK","uninormal",0.0101552601371841,0.0123478731213489,"HALLMARK_MYOGENESIS","High_Low",6,"Gastric","IT"
"Cycle","OK","uninormal",0.0230474182805232,0.02770869388782,"Cycle","Low_High",6,"Gastric","IT"
"MP25.Astrocytes","OK","uninormal",0.0236450330367458,0.0281113170547977,"MP25.Astrocytes","High_Low",6,"Gastric","IT"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","OK","uninormal",0.0247715988338203,0.0291270447826239,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","Low_High",6,"Gastric","IT"
"MP4..Chromatin","OK","uninormal",0.0293427585495577,0.0341269039652465,"MP4..Chromatin","High_Low",6,"Gastric","IT"
"MP11.Translation.initiation","OK","uninormal",0.0307170287854371,0.0353410976348577,"MP11.Translation.initiation","Low_Low",6,"Gastric","IT"
