"","status","family","pval","qval","gene_short_name","trend","cancer_type_num","cancer_type","tls_object"
"MP5.Stress","OK","uninormal",0,0,"MP5.Stress","High_Low",7,"Liver","IT"
"MP22.Secreted.I","OK","uninormal",0,0,"MP22.Secreted.I","High_Low",7,"Liver","IT"
"Stress","OK","uninormal",0,0,"Stress","High_Low",7,"Liver","IT"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","OK","uninormal",0,0,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","High_Low",7,"Liver","IT"
"HALLMARK_HYPOXIA","OK","uninormal",0,0,"HALLMARK_HYPOXIA","High_Low",7,"Liver","IT"
"HALLMARK_INFLAMMATORY_RESPONSE","OK","uninormal",0,0,"HALLMARK_INFLAMMATORY_RESPONSE","High_Low",7,"Liver","IT"
"Metal","OK","uninormal",6.86611398237601e-275,1.04953456587748e-273,"Metal","High_Low",7,"Liver","IT"
"MP39.Metal.response","OK","uninormal",4.15349084809172e-248,5.55529400932268e-247,"MP39.Metal.response","High_Low",7,"Liver","IT"
"HALLMARK_KRAS_SIGNALING_UP","OK","uninormal",1.06791009589454e-235,1.26962644734129e-234,"HALLMARK_KRAS_SIGNALING_UP","High_Low",7,"Liver","IT"
"MP17.Interferon.MHC.II..I.","OK","uninormal",2.32539438426718e-235,2.48817199116588e-234,"MP17.Interferon.MHC.II..I.","High_Low",7,"Liver","IT"
"MP18.Interferon.MHC.II..II.","OK","uninormal",1.14044595287586e-216,1.1093428814338e-215,"MP18.Interferon.MHC.II..II.","High_Low",7,"Liver","IT"
"HALLMARK_COMPLEMENT","OK","uninormal",2.5968378997487e-212,2.31551379394259e-211,"HALLMARK_COMPLEMENT","High_Low",7,"Liver","IT"
"MP31.Alveolar","OK","uninormal",3.90682676167472e-207,3.21561894999381e-206,"MP31.Alveolar","High_Low",7,"Liver","IT"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","OK","uninormal",1.48144216773532e-203,1.13224508534057e-202,"HALLMARK_INTERFERON_GAMMA_RESPONSE","High_Low",7,"Liver","IT"
"MP11.Translation.initiation","OK","uninormal",7.11471964175768e-184,5.07516667778714e-183,"MP11.Translation.initiation","Low_High",7,"Liver","IT"
"HALLMARK_COAGULATION","OK","uninormal",5.48886087583932e-181,3.67067571071754e-180,"HALLMARK_COAGULATION","High_Low",7,"Liver","IT"
"MP16.MES..glioma.","OK","uninormal",1.04860460294043e-179,6.60004073615449e-179,"MP16.MES..glioma.","High_Low",7,"Liver","IT"
"Interferon","OK","uninormal",1.3504221950121e-166,8.02750971479416e-166,"Interferon","High_Low",7,"Liver","IT"
"MP40.PDAC.related","OK","uninormal",2.29693695107701e-154,1.29353817771179e-153,"MP40.PDAC.related","High_Low",7,"Liver","IT"
"MP23.Secreted.II","OK","uninormal",3.0265578096291e-154,1.61920842815157e-153,"MP23.Secreted.II","High_Low",7,"Liver","IT"
"MP35.Hemato.related.I","OK","uninormal",1.66616479543043e-150,8.4895063386217e-150,"MP35.Hemato.related.I","High_Low",7,"Liver","IT"
"HALLMARK_ALLOGRAFT_REJECTION","OK","uninormal",2.73434688296623e-149,1.32988689307903e-148,"HALLMARK_ALLOGRAFT_REJECTION","High_Low",7,"Liver","IT"
"HALLMARK_TGF_BETA_SIGNALING","OK","uninormal",1.09671872611827e-146,5.1021262475937e-146,"HALLMARK_TGF_BETA_SIGNALING","High_Low",7,"Liver","IT"
"MP25.Astrocytes","OK","uninormal",1.2630244654193e-146,5.63098407499439e-146,"MP25.Astrocytes","High_Low",7,"Liver","IT"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","OK","uninormal",3.94218884806113e-134,1.68725682697016e-133,"HALLMARK_IL6_JAK_STAT3_SIGNALING","High_Low",7,"Liver","IT"
"HALLMARK_APOPTOSIS","OK","uninormal",1.15994012566467e-125,4.77359974792767e-125,"HALLMARK_APOPTOSIS","High_Low",7,"Liver","IT"
"MP15.EMT.IV","OK","uninormal",2.10107738331361e-121,8.32649185239096e-121,"MP15.EMT.IV","High_Low",7,"Liver","IT"
"MP13.EMT.II","OK","uninormal",7.98192562417033e-113,3.05023586352223e-112,"MP13.EMT.II","High_Low",7,"Liver","IT"
"MP6.Hypoxia","OK","uninormal",8.64858040135385e-113,3.19102794118918e-112,"MP6.Hypoxia","High_Low",7,"Liver","IT"
"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","OK","uninormal",2.8741565159948e-105,1.02511582403815e-104,"HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","High_Low",7,"Liver","IT"
"MP12.EMT.I","OK","uninormal",1.78966696789604e-97,6.17723759886696e-97,"MP12.EMT.I","High_Low",7,"Liver","IT"
"HALLMARK_UV_RESPONSE_UP","OK","uninormal",7.86368722694389e-95,2.62942041650936e-94,"HALLMARK_UV_RESPONSE_UP","High_Low",7,"Liver","IT"
"HALLMARK_DNA_REPAIR","OK","uninormal",5.29102837569835e-86,1.71557586727189e-85,"HALLMARK_DNA_REPAIR","Low_High",7,"Liver","IT"
"MP26.NPC.Glioma","OK","uninormal",3.98595399940819e-79,1.25440317040199e-78,"MP26.NPC.Glioma","Low_High",7,"Liver","IT"
"HALLMARK_UV_RESPONSE_DN","OK","uninormal",3.1750011800615e-78,9.70643217904516e-78,"HALLMARK_UV_RESPONSE_DN","High_Low",7,"Liver","IT"
