"","status","family","pval","qval","gene_short_name","trend","cancer_type_num","cancer_type","tls_object"
"Cycle","OK","uninormal",2.73951466876305e-74,8.14244637660128e-74,"Cycle","Low_High",7,"Liver","IT"
"HALLMARK_XENOBIOTIC_METABOLISM","OK","uninormal",8.42645809354681e-71,2.43684058380948e-70,"HALLMARK_XENOBIOTIC_METABOLISM","High_Low",7,"Liver","IT"
"HALLMARK_MYC_TARGETS_V2","OK","uninormal",4.48415380856853e-70,1.26264330925482e-69,"HALLMARK_MYC_TARGETS_V2","Low_High",7,"Liver","IT"
"MP20.MYC","OK","uninormal",5.46620387016958e-69,1.49970208745678e-68,"MP20.MYC","Low_High",7,"Liver","IT"
"Glandular","OK","uninormal",2.02556799339089e-64,5.41839438232064e-64,"Glandular","Low_High",7,"Liver","IT"
"MP19.Epithelial.Senescence","OK","uninormal",2.74596539839543e-62,7.16629994215394e-62,"MP19.Epithelial.Senescence","High_Low",7,"Liver","IT"
"HALLMARK_IL2_STAT5_SIGNALING","OK","uninormal",4.47523254367138e-58,1.14011876707818e-57,"HALLMARK_IL2_STAT5_SIGNALING","High_Low",7,"Liver","IT"
"MP38.Glutathione","OK","uninormal",4.0880939529472e-53,1.01726989061709e-52,"MP38.Glutathione","High_Low",7,"Liver","IT"
"HALLMARK_ANDROGEN_RESPONSE","OK","uninormal",6.10231259390003e-53,1.48397147169842e-52,"HALLMARK_ANDROGEN_RESPONSE","High_Low",7,"Liver","IT"
"AC","OK","uninormal",4.27906926703409e-51,1.01746758127255e-50,"AC","High_Low",7,"Liver","IT"
"HALLMARK_G2M_CHECKPOINT","OK","uninormal",6.28266105109281e-51,1.46140159231942e-50,"HALLMARK_G2M_CHECKPOINT","Low_High",7,"Liver","IT"
"HALLMARK_MITOTIC_SPINDLE","OK","uninormal",2.86717595169937e-50,6.52740057089005e-50,"HALLMARK_MITOTIC_SPINDLE","Low_High",7,"Liver","IT"
"HALLMARK_E2F_TARGETS","OK","uninormal",2.54138913602779e-47,5.66517994906195e-47,"HALLMARK_E2F_TARGETS","Low_High",7,"Liver","IT"
"MP2..Cell.Cycle...G1.S","OK","uninormal",3.66605133149252e-45,8.00545902999386e-45,"MP2..Cell.Cycle...G1.S","Low_High",7,"Liver","IT"
"HALLMARK_PANCREAS_BETA_CELLS","OK","uninormal",5.1262082076858e-39,1.09700855644476e-38,"HALLMARK_PANCREAS_BETA_CELLS","Low_High",7,"Liver","IT"
"MP3..Cell.Cylce.HMG.rich","OK","uninormal",3.7289809877745e-38,7.82354834689945e-38,"MP3..Cell.Cylce.HMG.rich","Low_High",7,"Liver","IT"
"HALLMARK_BILE_ACID_METABOLISM","OK","uninormal",6.32309438337197e-38,1.30109826734769e-37,"HALLMARK_BILE_ACID_METABOLISM","High_Low",7,"Liver","IT"
"HALLMARK_MYC_TARGETS_V1","OK","uninormal",2.224405392072e-35,4.49078069720196e-35,"HALLMARK_MYC_TARGETS_V1","Low_High",7,"Liver","IT"
"pEMT","OK","uninormal",2.50493680866016e-33,4.96348589864143e-33,"pEMT","High_Low",7,"Liver","IT"
"HALLMARK_NOTCH_SIGNALING","OK","uninormal",1.04700269991719e-32,2.03689616165709e-32,"HALLMARK_NOTCH_SIGNALING","Low_High",7,"Liver","IT"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","OK","uninormal",8.88172171215124e-26,1.69704325571461e-25,"HALLMARK_PI3K_AKT_MTOR_SIGNALING","Low_High",7,"Liver","IT"
"HALLMARK_WNT_BETA_CATENIN_SIGNALING","OK","uninormal",1.23476835225827e-24,2.29218581998829e-24,"HALLMARK_WNT_BETA_CATENIN_SIGNALING","Low_High",7,"Liver","IT"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","OK","uninormal",1.24249324821795e-24,2.29218581998829e-24,"HALLMARK_INTERFERON_ALPHA_RESPONSE","High_Low",7,"Liver","IT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","OK","uninormal",2.88811278713887e-22,5.237763868201e-22,"HALLMARK_CHOLESTEROL_HOMEOSTASIS","Low_Low",7,"Liver","IT"
"HALLMARK_GLYCOLYSIS","OK","uninormal",1.40781193612312e-21,2.5105979527529e-21,"HALLMARK_GLYCOLYSIS","High_Low",7,"Liver","IT"
"MP36.IG","OK","uninormal",1.90029741196395e-21,3.3333085750843e-21,"MP36.IG","High_Low",7,"Liver","IT"
"MP34.Platelet.activation","OK","uninormal",9.25946164449808e-21,1.5980038644537e-20,"MP34.Platelet.activation","High_Low",7,"Liver","IT"
"HALLMARK_PEROXISOME","OK","uninormal",9.65378338656703e-20,1.6396108291471e-19,"HALLMARK_PEROXISOME","High_High",7,"Liver","IT"
"MP28.Oligo.normal","OK","uninormal",1.0680056462445e-19,1.78557193981502e-19,"MP28.Oligo.normal","High_Low",7,"Liver","IT"
"Basal","OK","uninormal",6.28122112601478e-19,1.0339856315132e-18,"Basal","High_Low",7,"Liver","IT"
"MP29.NPC.OPC","OK","uninormal",3.50519178774888e-18,5.68265941347167e-18,"MP29.NPC.OPC","High_Low",7,"Liver","IT"
"HALLMARK_APICAL_SURFACE","OK","uninormal",5.00475280752565e-18,7.99266493142156e-18,"HALLMARK_APICAL_SURFACE","Low_Low",7,"Liver","IT"
"HALLMARK_APICAL_JUNCTION","OK","uninormal",2.63193165780269e-17,4.14142187330717e-17,"HALLMARK_APICAL_JUNCTION","Low_Low",7,"Liver","IT"
"HALLMARK_FATTY_ACID_METABOLISM","OK","uninormal",3.26932650267108e-17,5.06982515631602e-17,"HALLMARK_FATTY_ACID_METABOLISM","High_Low",7,"Liver","IT"
"MP41.Unassigned","OK","uninormal",3.69892436455682e-16,5.65407010010828e-16,"MP41.Unassigned","High_High",7,"Liver","IT"
"HALLMARK_PROTEIN_SECRETION","OK","uninormal",5.86908371377376e-16,8.84495714610975e-16,"HALLMARK_PROTEIN_SECRETION","Low_High",7,"Liver","IT"
"MP1..Cell.Cycle...G2.M","OK","uninormal",3.1675991902724e-15,4.70740435221037e-15,"MP1..Cell.Cycle...G2.M","Low_High",7,"Liver","IT"
"HALLMARK_P53_PATHWAY","OK","uninormal",3.31113297326882e-15,4.85330449506526e-15,"HALLMARK_P53_PATHWAY","High_Low",7,"Liver","IT"
"MP37.Hemato.related.II","OK","uninormal",5.48681753130824e-14,7.93364156554029e-14,"MP37.Hemato.related.II","High_High",7,"Liver","IT"
"MP7.Stress..in.vitro.","OK","uninormal",2.44355997526847e-10,3.48614556471636e-10,"MP7.Stress..in.vitro.","Low_High",7,"Liver","IT"
"NPC","OK","uninormal",5.86301918448132e-10,8.25451385183555e-10,"NPC","Low_Low",7,"Liver","IT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","OK","uninormal",8.52432636504997e-10,1.18454924813032e-09,"HALLMARK_ESTROGEN_RESPONSE_LATE","High_High",7,"Liver","IT"
"MP27.Oligo.Progenitor","OK","uninormal",2.08043798072773e-09,2.85393415304958e-09,"MP27.Oligo.Progenitor","High_Low",7,"Liver","IT"
"Alveolar","OK","uninormal",2.16036482197752e-09,2.92606374622272e-09,"Alveolar","Low_High",7,"Liver","IT"
"MP10.Protein.maturation","OK","uninormal",2.31512998912271e-09,3.09648636045163e-09,"MP10.Protein.maturation","High_Low",7,"Liver","IT"
"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","OK","uninormal",4.65321410069457e-09,6.14683837992986e-09,"HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","High_High",7,"Liver","IT"
"HALLMARK_MYOGENESIS","OK","uninormal",5.26749054697445e-08,6.87343278690568e-08,"HALLMARK_MYOGENESIS","High_Low",7,"Liver","IT"
"Mesenchymal","OK","uninormal",6.41494759151948e-08,8.2698721962962e-08,"Mesenchymal","High_Low",7,"Liver","IT"
"MP24.Cilia","OK","uninormal",7.46651220846357e-08,9.51091436078098e-08,"MP24.Cilia","High_Low",7,"Liver","IT"
"HALLMARK_ADIPOGENESIS","OK","uninormal",4.96541960385006e-07,6.2505870307289e-07,"HALLMARK_ADIPOGENESIS","High_Low",7,"Liver","IT"
"MP14.EMT.III","OK","uninormal",6.00334987662515e-07,7.46928414882431e-07,"MP14.EMT.III","Low_Low",7,"Liver","IT"
"MP8.Proteasomal.degradation","OK","uninormal",1.78444284877492e-06,2.19465959561973e-06,"MP8.Proteasomal.degradation","Low_High",7,"Liver","IT"
"Hypoxia","OK","uninormal",1.94731294881698e-06,2.36775551731156e-06,"Hypoxia","High_Low",7,"Liver","IT"
"MP33.RBCs","OK","uninormal",2.64350606139895e-06,3.17814773673806e-06,"MP33.RBCs","High_High",7,"Liver","IT"
"MP30.PDAC.classical","OK","uninormal",6.21529925001527e-05,7.3893002194626e-05,"MP30.PDAC.classical","Low_High",7,"Liver","IT"
"HALLMARK_HEME_METABOLISM","OK","uninormal",0.000312172600528532,0.00036706009073135,"HALLMARK_HEME_METABOLISM","High_Low",7,"Liver","IT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","OK","uninormal",0.000374343029846309,0.000435377219495163,"HALLMARK_ESTROGEN_RESPONSE_EARLY","High_Low",7,"Liver","IT"
"HALLMARK_OXIDATIVE_PHOSPHORYLATION","OK","uninormal",0.000442003001475597,0.000508541087719235,"HALLMARK_OXIDATIVE_PHOSPHORYLATION","Low_High",7,"Liver","IT"
"MP4..Chromatin","OK","uninormal",0.000462272196510005,0.000526203457729474,"MP4..Chromatin","Low_Low",7,"Liver","IT"
"Ciliated","OK","uninormal",0.000830633893336903,0.000935556069337353,"Ciliated","Low_Low",7,"Liver","IT"
"MP21.Respiration","OK","uninormal",0.0403000474385425,0.0449177612075422,"MP21.Respiration","Low_High",7,"Liver","IT"
"HALLMARK_ANGIOGENESIS","OK","uninormal",0.0422284111656117,0.0465818556156748,"HALLMARK_ANGIOGENESIS","Low_Low",7,"Liver","IT"
