"","status","family","pval","qval","gene_short_name","trend","cancer_type_num","cancer_type","tls_object"
"Alveolar","OK","uninormal",0,0,"Alveolar","High_Low",8,"Lung","IT"
"HALLMARK_ESTROGEN_RESPONSE_EARLY","OK","uninormal",0,0,"HALLMARK_ESTROGEN_RESPONSE_EARLY","High_Low",8,"Lung","IT"
"MP5.Stress","OK","uninormal",3.05204640041806e-299,1.08856321614911e-297,"MP5.Stress","High_Low",8,"Lung","IT"
"MP18.Interferon.MHC.II..II.","OK","uninormal",9.52322158768e-292,2.5474617747044e-290,"MP18.Interferon.MHC.II..II.","High_Low",8,"Lung","IT"
"MP17.Interferon.MHC.II..I.","OK","uninormal",2.58832732342647e-285,5.53902047213264e-284,"MP17.Interferon.MHC.II..I.","High_Low",8,"Lung","IT"
"Basal","OK","uninormal",2.2222060893416e-278,3.96293419265919e-277,"Basal","Low_High",8,"Lung","IT"
"HALLMARK_BILE_ACID_METABOLISM","OK","uninormal",5.20750486869046e-272,7.96004315642685e-271,"HALLMARK_BILE_ACID_METABOLISM","High_Low",8,"Lung","IT"
"MP19.Epithelial.Senescence","OK","uninormal",4.85134938354399e-264,6.48867980049009e-263,"MP19.Epithelial.Senescence","High_Low",8,"Lung","IT"
"Stress","OK","uninormal",8.64445697826728e-258,1.027729885194e-256,"Stress","High_Low",8,"Lung","IT"
"HALLMARK_MYC_TARGETS_V2","OK","uninormal",4.80646759254207e-248,5.14292032402001e-247,"HALLMARK_MYC_TARGETS_V2","Low_High",8,"Lung","IT"
"HALLMARK_PEROXISOME","OK","uninormal",1.13425883415095e-243,1.10332450231047e-242,"HALLMARK_PEROXISOME","High_Low",8,"Lung","IT"
"HALLMARK_TNFA_SIGNALING_VIA_NFKB","OK","uninormal",1.76947701493982e-229,1.57778367165467e-228,"HALLMARK_TNFA_SIGNALING_VIA_NFKB","High_Low",8,"Lung","IT"
"MP40.PDAC.related","OK","uninormal",3.58309922163142e-229,2.94916628241971e-228,"MP40.PDAC.related","High_Low",8,"Lung","IT"
"MP27.Oligo.Progenitor","OK","uninormal",5.63798064456995e-220,4.30902806406418e-219,"MP27.Oligo.Progenitor","High_Low",8,"Lung","IT"
"Glandular","OK","uninormal",2.80339211995225e-214,1.99975304556594e-213,"Glandular","High_Low",8,"Lung","IT"
"Interferon","OK","uninormal",5.4744705977231e-209,3.66105221222732e-208,"Interferon","High_Low",8,"Lung","IT"
"HALLMARK_ESTROGEN_RESPONSE_LATE","OK","uninormal",8.34073693840233e-208,5.24975795534735e-207,"HALLMARK_ESTROGEN_RESPONSE_LATE","High_Low",8,"Lung","IT"
"MP30.PDAC.classical","OK","uninormal",1.70906969302444e-205,1.01594698418675e-204,"MP30.PDAC.classical","High_Low",8,"Lung","IT"
"MP22.Secreted.I","OK","uninormal",1.67950810192721e-203,9.45828246874797e-203,"MP22.Secreted.I","High_Low",8,"Lung","IT"
"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","OK","uninormal",8.57483404641231e-195,4.58753621483059e-194,"HALLMARK_UNFOLDED_PROTEIN_RESPONSE","Low_High",8,"Lung","IT"
"MP35.Hemato.related.I","OK","uninormal",3.60486760887201e-191,1.83676587690145e-190,"MP35.Hemato.related.I","High_Low",8,"Lung","IT"
"HALLMARK_IL6_JAK_STAT3_SIGNALING","OK","uninormal",6.79932230120796e-172,3.30694311922387e-171,"HALLMARK_IL6_JAK_STAT3_SIGNALING","High_Low",8,"Lung","IT"
"HALLMARK_INTERFERON_ALPHA_RESPONSE","OK","uninormal",2.30223512820819e-169,1.07103982051424e-168,"HALLMARK_INTERFERON_ALPHA_RESPONSE","High_Low",8,"Lung","IT"
"MP23.Secreted.II","OK","uninormal",7.14088423727586e-168,3.18364422245215e-167,"MP23.Secreted.II","High_High",8,"Lung","IT"
"MP14.EMT.III","OK","uninormal",9.24176221013815e-166,3.95547422593913e-165,"MP14.EMT.III","High_Low",8,"Lung","IT"
"MP28.Oligo.normal","OK","uninormal",1.18382418095136e-160,4.87189182160752e-160,"MP28.Oligo.normal","High_Low",8,"Lung","IT"
"MP36.IG","OK","uninormal",3.92033172293658e-148,1.55361294205265e-147,"MP36.IG","High_Low",8,"Lung","IT"
"MP34.Platelet.activation","OK","uninormal",4.73107142775439e-137,1.807945152749e-136,"MP34.Platelet.activation","High_Low",8,"Lung","IT"
"HALLMARK_E2F_TARGETS","OK","uninormal",1.20577920736752e-128,4.44890948925257e-128,"HALLMARK_E2F_TARGETS","Low_High",8,"Lung","IT"
"HALLMARK_MTORC1_SIGNALING","OK","uninormal",8.44374592758499e-128,3.01160271417198e-127,"HALLMARK_MTORC1_SIGNALING","Low_High",8,"Lung","IT"
"MP29.NPC.OPC","OK","uninormal",1.57810163815886e-116,5.44699597687092e-116,"MP29.NPC.OPC","Low_High",8,"Lung","IT"
"MP4..Chromatin","OK","uninormal",4.83376715310842e-106,1.61629089182063e-105,"MP4..Chromatin","Low_High",8,"Lung","IT"
"HALLMARK_INTERFERON_GAMMA_RESPONSE","OK","uninormal",3.09705176567415e-103,1.00419557250647e-102,"HALLMARK_INTERFERON_GAMMA_RESPONSE","High_Low",8,"Lung","IT"
"MP37.Hemato.related.II","OK","uninormal",2.90044347339703e-99,9.12786622510242e-99,"MP37.Hemato.related.II","High_Low",8,"Lung","IT"
"HALLMARK_SPERMATOGENESIS","OK","uninormal",1.19982350455205e-77,3.66803185677341e-77,"HALLMARK_SPERMATOGENESIS","Low_High",8,"Lung","IT"
"MP25.Astrocytes","OK","uninormal",9.19993902510936e-77,2.73442632135195e-76,"MP25.Astrocytes","High_Low",8,"Lung","IT"
"HALLMARK_GLYCOLYSIS","OK","uninormal",1.75904382719056e-75,5.08696458133485e-75,"HALLMARK_GLYCOLYSIS","Low_High",8,"Lung","IT"
"Squamous","OK","uninormal",7.9136688907505e-69,2.22832255607975e-68,"Squamous","High_Low",8,"Lung","IT"
"HALLMARK_PANCREAS_BETA_CELLS","OK","uninormal",2.70688775529029e-67,7.4265894824631e-67,"HALLMARK_PANCREAS_BETA_CELLS","Low_Low",8,"Lung","IT"
"Metal","OK","uninormal",3.9287573665785e-65,1.05094259555975e-64,"Metal","Low_High",8,"Lung","IT"
"MP24.Cilia","OK","uninormal",9.76258922962403e-63,2.54779767699944e-62,"MP24.Cilia","Low_Low",8,"Lung","IT"
"HALLMARK_APICAL_JUNCTION","OK","uninormal",1.74764984650771e-62,4.45234603753154e-62,"HALLMARK_APICAL_JUNCTION","High_Low",8,"Lung","IT"
"Mesenchymal","OK","uninormal",3.77331689162019e-61,9.38941645124093e-61,"Mesenchymal","Low_High",8,"Lung","IT"
"MP6.Hypoxia","OK","uninormal",1.17218825015621e-58,2.85054869924352e-58,"MP6.Hypoxia","Low_High",8,"Lung","IT"
"HALLMARK_UV_RESPONSE_UP","OK","uninormal",3.46075268456715e-58,8.22890082774855e-58,"HALLMARK_UV_RESPONSE_UP","High_Low",8,"Lung","IT"
"Ciliated","OK","uninormal",4.52832675538492e-58,1.05332818005693e-57,"Ciliated","Low_Low",8,"Lung","IT"
"HALLMARK_CHOLESTEROL_HOMEOSTASIS","OK","uninormal",5.40336154489104e-58,1.23012699000711e-57,"HALLMARK_CHOLESTEROL_HOMEOSTASIS","High_High",8,"Lung","IT"
"NPC","OK","uninormal",9.62338284133674e-57,2.14521242504798e-56,"NPC","High_Low",8,"Lung","IT"
"HALLMARK_PI3K_AKT_MTOR_SIGNALING","OK","uninormal",7.8925626583746e-55,1.72347796825731e-54,"HALLMARK_PI3K_AKT_MTOR_SIGNALING","High_High",8,"Lung","IT"
"MP41.Unassigned","OK","uninormal",1.707615658768e-53,3.65429750976351e-53,"MP41.Unassigned","Low_High",8,"Lung","IT"
"MP39.Metal.response","OK","uninormal",1.9100889683094e-48,4.00744156096286e-48,"MP39.Metal.response","High_Low",8,"Lung","IT"
"HALLMARK_IL2_STAT5_SIGNALING","OK","uninormal",3.50990551978644e-48,7.22230558879132e-48,"HALLMARK_IL2_STAT5_SIGNALING","High_Low",8,"Lung","IT"
"HALLMARK_NOTCH_SIGNALING","OK","uninormal",3.08921187534543e-47,6.2367107672068e-47,"HALLMARK_NOTCH_SIGNALING","High_Low",8,"Lung","IT"
"HALLMARK_ANGIOGENESIS","OK","uninormal",3.74125803324376e-44,7.41323351031633e-44,"HALLMARK_ANGIOGENESIS","Low_High",8,"Lung","IT"
"HALLMARK_INFLAMMATORY_RESPONSE","OK","uninormal",4.46401142866344e-43,8.68453132485433e-43,"HALLMARK_INFLAMMATORY_RESPONSE","High_Low",8,"Lung","IT"
"HALLMARK_KRAS_SIGNALING_DN","OK","uninormal",5.27814559593562e-42,1.00850281922341e-41,"HALLMARK_KRAS_SIGNALING_DN","High_Low",8,"Lung","IT"
"MP16.MES..glioma.","OK","uninormal",6.51600689819826e-37,1.22318024229336e-36,"MP16.MES..glioma.","Low_High",8,"Lung","IT"
"MP20.MYC","OK","uninormal",8.17715217444503e-37,1.50854359080279e-36,"MP20.MYC","Low_High",8,"Lung","IT"
"HALLMARK_KRAS_SIGNALING_UP","OK","uninormal",1.6432474075536e-34,2.98012665437686e-34,"HALLMARK_KRAS_SIGNALING_UP","Low_High",8,"Lung","IT"
"MP2..Cell.Cycle...G1.S","OK","uninormal",2.04950630984676e-34,3.65495291922673e-34,"MP2..Cell.Cycle...G1.S","Low_Low",8,"Lung","IT"
"HALLMARK_TGF_BETA_SIGNALING","OK","uninormal",2.30258463341008e-34,4.03895993073572e-34,"HALLMARK_TGF_BETA_SIGNALING","High_High",8,"Lung","IT"
"MP7.Stress..in.vitro.","OK","uninormal",9.31964812409358e-33,1.60839088593228e-32,"MP7.Stress..in.vitro.","High_High",8,"Lung","IT"
